event_id,date_of_event,country,Place,Orchestra,program,conductor
26,1921-03-06,Czechoslovakia,Bratislava,Vienna Philharmonic,Berl 4,Richard Strauss
26,1921-03-06,Czechoslovakia,Bratislava,Vienna Philharmonic,Sme Braut,Richard Strauss
26,1921-03-06,Czechoslovakia,Bratislava,Vienna Philharmonic,Str 20,Richard Strauss
26,1921-03-06,Czechoslovakia,Bratislava,Vienna Philharmonic,Str 24,Richard Strauss
26,1921-03-06,Czechoslovakia,Bratislava,Vienna Philharmonic,Str 28,Richard Strauss
27,1921-07-11,Czechoslovakia,Prague,Vienna Philharmonic,Bee 93,Felix von Weingartner
27,1921-07-11,Czechoslovakia,Prague,Vienna Philharmonic,Berl 9,Felix von Weingartner
27,1921-07-11,Czechoslovakia,Prague,Vienna Philharmonic,Dvo 66,Felix von Weingartner
27,1921-07-11,Czechoslovakia,Prague,Vienna Philharmonic,Str 24,Felix von Weingartner
27,1921-07-11,Czechoslovakia,Prague,Vienna Philharmonic,Weingartner 60,Felix von Weingartner
28,1921-07-12,Czechoslovakia,Liberec,Vienna Philharmonic,Bee 67,Felix von Weingartner
28,1921-07-12,Czechoslovakia,Liberec,Vienna Philharmonic,Sme Moldau,Felix von Weingartner
28,1921-07-12,Czechoslovakia,Liberec,Vienna Philharmonic,Str 24,Felix von Weingartner
28,1921-07-12,Czechoslovakia,Liberec,Vienna Philharmonic,Weingartner 60,Felix von Weingartner
29,1921-07-13,Czechoslovakia,Teplice,Vienna Philharmonic,Bee 67,Felix von Weingartner
29,1921-07-13,Czechoslovakia,Teplice,Vienna Philharmonic,Deb Faune,Felix von Weingartner
29,1921-07-13,Czechoslovakia,Teplice,Vienna Philharmonic,Schb 759,Felix von Weingartner
29,1921-07-13,Czechoslovakia,Teplice,Vienna Philharmonic,Sme Moldau,Felix von Weingartner
30,1921-07-14,Czechoslovakia,Karlovy Vary,Vienna Philharmonic,Bee 93,Felix von Weingartner
30,1921-07-14,Czechoslovakia,Karlovy Vary,Vienna Philharmonic,Berl 9,Felix von Weingartner
30,1921-07-14,Czechoslovakia,Karlovy Vary,Vienna Philharmonic,Dvo 66,Felix von Weingartner
30,1921-07-14,Czechoslovakia,Karlovy Vary,Vienna Philharmonic,Str 24,Felix von Weingartner
30,1921-07-14,Czechoslovakia,Karlovy Vary,Vienna Philharmonic,Weingartner 60,Felix von Weingartner
31,1921-07-15,Czechoslovakia,Karlovy Vary,Vienna Philharmonic,Bee 67,Felix von Weingartner
31,1921-07-15,Czechoslovakia,Karlovy Vary,Vienna Philharmonic,Deb Faune,Felix von Weingartner
31,1921-07-15,Czechoslovakia,Karlovy Vary,Vienna Philharmonic,Schb 759,Felix von Weingartner
31,1921-07-15,Czechoslovakia,Karlovy Vary,Vienna Philharmonic,Sme Moldau,Felix von Weingartner
32,1921-07-16,Czechoslovakia,Mariánské Lázně,Vienna Philharmonic,Bee 93,Felix von Weingartner
32,1921-07-16,Czechoslovakia,Mariánské Lázně,Vienna Philharmonic,Berl 9,Felix von Weingartner
